INSIDE, 11, 1, 20341230.235113
INSIDE, 11, 2, 12887196.112745
INSIDE, 11, 3, 22692390.712887
INSIDE, 11, 4, 31214447.950345
INSIDE, 11, 5, 33497566.052445
INSIDE, 11, 6, 29612130.370284
INSIDE, 11, 7, 13585872.462064
INSIDE, 11, 8, 15712089.741383
INSIDE, 11, 9, 9559587.577133
INSIDE, 12, 1, 33971184.707130
INSIDE, 12, 2, 16835480.845803
INSIDE, 12, 3, 20806763.307001
INSIDE, 12, 4, 12317721.075103
INSIDE, 12, 5, 19471923.414196
INSIDE, 12, 6, 37095664.363138
INSIDE, 12, 7, 12790419.696226
INSIDE, 12, 8, 7003248.846843
INSIDE, 12, 9, 9019665.998964
INSIDE, 21, 1, 22770830.018531
INSIDE, 21, 2, 27283814.409695
INSIDE, 21, 3, 25484550.349866
INSIDE, 21, 4, 57143223.746731
INSIDE, 21, 5, 43072828.881976
INSIDE, 21, 6, 23636574.700577
INSIDE, 21, 7, 10075813.855936
INSIDE, 21, 8, 20013743.062938
INSIDE, 21, 9, 19622347.817398
INSIDE, 22, 1, 53361229.658910
INSIDE, 22, 2, 57125719.044306
INSIDE, 22, 3, 8391812.062635
INSIDE, 22, 4, 18737360.526181
INSIDE, 22, 5, 25330650.204258
INSIDE, 22, 6, 58430793.774951
INSIDE, 22, 7, 29219107.711956
INSIDE, 22, 8, 44886593.437293
INSIDE, 22, 9, 18584682.575609
OUTSIDE, 11, 1, 27871438.273730
OUTSIDE, 11, 2, 25837666.576606
OUTSIDE, 11, 3, 49669938.779876
OUTSIDE, 11, 4, 15398394.562519
OUTSIDE, 11, 5, 17330366.140792
OUTSIDE, 11, 6, 22923484.625249
OUTSIDE, 11, 7, 33648669.536112
OUTSIDE, 11, 8, 19363755.679209
OUTSIDE, 11, 9, 15089398.807317
OUTSIDE, 12, 1, 36525650.492557
OUTSIDE, 12, 2, 47266407.829263
OUTSIDE, 12, 3, 13015927.997513
OUTSIDE, 12, 4, 17697275.156625
OUTSIDE, 12, 5, 21216883.973132
OUTSIDE, 12, 6, 35003602.969193
OUTSIDE, 12, 7, 14907989.090798
OUTSIDE, 12, 8, 18502833.690842
OUTSIDE, 12, 9, 14809896.054542
OUTSIDE, 21, 1, 76821484.220584
OUTSIDE, 21, 2, 30422706.564867
OUTSIDE, 21, 3, 30536410.591079
OUTSIDE, 21, 4, 36977977.547669
OUTSIDE, 21, 5, 34427634.002206
OUTSIDE, 21, 6, 57393148.787199
OUTSIDE, 21, 7, 31566006.351032
OUTSIDE, 21, 8, 20731444.604456
OUTSIDE, 21, 9, 22604004.637433
OUTSIDE, 22, 1, 53338497.917870
OUTSIDE, 22, 2, 37572258.917490
OUTSIDE, 22, 3, 59059399.059986
OUTSIDE, 22, 4, 67367105.762021
OUTSIDE, 22, 5, 41994230.609888
OUTSIDE, 22, 6, 75720298.982507
OUTSIDE, 22, 7, 32514266.779687
OUTSIDE, 22, 8, 17927171.746560
OUTSIDE, 22, 9, 18243757.656838
